27 702
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
1 27 -0.0
1 2 -23430.0
1 3 -18605.0
1 4 -23280.0
1 5 -23625.0
1 6 -22995.0
1 7 -22940.0
1 8 -23130.0
1 9 -21375.0
1 10 -22935.0
1 11 -23900.0
1 12 -21410.0
1 13 -21120.0
1 14 -22290.0
1 15 -24400.0
1 16 -23200.0
1 17 -18595.0
1 18 -20270.0
1 19 -23230.0
1 20 -22330.0
1 21 -23575.0
1 22 -23535.0
1 23 -19130.0
1 24 -20280.0
1 25 -24650.0
1 26 -22250.0
2 27 16940.0
2 3 -2825.0
2 4 -4800.0
2 5 -1255.0
2 6 -6865.0
2 7 260.0
2 8 -1310.0
2 9 -5605.0
2 10 -6745.0
2 11 70.0
2 12 -4590.0
2 13 -4790.0
2 14 -6510.0
2 15 -3280.0
2 16 70.0
2 17 1005.0
2 18 -3320.0
2 19 180.0
2 20 -5790.0
2 21 -7795.0
2 22 -7205.0
2 23 1300.0
2 24 420.0
2 25 -4360.0
2 26 -6540.0
3 27 16380.0
3 2 -8210.0
3 4 -4730.0
3 5 -7645.0
3 6 -2495.0
3 7 -7520.0
3 8 -7910.0
3 9 -2965.0
3 10 -2995.0
3 11 -8680.0
3 12 -4660.0
3 13 -4030.0
3 14 -1860.0
3 15 -7660.0
3 16 -8050.0
3 17 -945.0
3 18 -4850.0
3 19 -7800.0
3 20 -3710.0
3 21 -1615.0
3 22 -4015.0
3 23 -3140.0
3 24 -5130.0
3 25 -8670.0
3 26 -1820.0
4 27 16730.0
4 2 -5160.0
4 3 295.0
4 5 -2995.0
4 6 -6665.0
4 7 -4320.0
4 8 -6450.0
4 9 -4905.0
4 10 -6745.0
4 11 -5830.0
4 12 -5910.0
4 13 -5550.0
4 14 -5470.0
4 15 -2380.0
4 16 -5350.0
4 17 4685.0
4 18 -4710.0
4 19 -4190.0
4 20 -6550.0
4 21 -6475.0
4 22 -7485.0
4 23 -3280.0
4 24 -3260.0
4 25 -8740.0
4 26 -5430.0
5 27 16110.0
5 2 -1890.0
5 3 -2895.0
5 4 -3270.0
5 6 -8185.0
5 7 -1130.0
5 8 -3950.0
5 9 -6435.0
5 10 -8065.0
5 11 -2500.0
5 12 -6120.0
5 13 -6110.0
5 14 -7350.0
5 15 -920.0
5 16 -2500.0
5 17 2875.0
5 18 -4640.0
5 19 -510.0
5 20 -7320.0
5 21 -8635.0
5 22 -8595.0
5 23 -1270.0
5 24 -1520.0
5 25 -6930.0
5 26 -7310.0
6 27 16380.0
6 2 -7860.0
6 3 1895.0
6 4 -7300.0
6 5 -8545.0
6 7 -7520.0
6 8 -6380.0
6 9 -2895.0
6 10 615.0
6 11 -8260.0
6 12 -2790.0
6 13 -2570.0
6 14 -1310.0
6 15 -9180.0
6 16 -7430.0
6 17 -3095.0
6 18 -4020.0
6 19 -7940.0
6 20 -720.0
6 21 -715.0
6 22 -405.0
6 23 -300.0
6 24 -4440.0
6 25 -5960.0
6 26 -1410.0
7 27 17220.0
7 2 50.0
7 3 -2345.0
7 4 -4170.0
7 5 -705.0
7 6 -6735.0
7 8 -1800.0
7 9 -5325.0
7 10 -6605.0
7 11 -560.0
7 12 -4520.0
7 13 -4650.0
7 14 -6170.0
7 15 -2590.0
7 16 -350.0
7 17 1695.0
7 18 -3180.0
7 19 530.0
7 20 -5720.0
7 21 -7585.0
7 22 -7135.0
7 23 880.0
7 24 420.0
7 25 -4780.0
7 26 -6200.0
8 27 16800.0
8 2 -1750.0
8 3 -2965.0
8 4 -6530.0
8 5 -3755.0
8 6 -5825.0
8 7 -2030.0
8 9 -5395.0
8 10 -5705.0
8 11 -1740.0
8 12 -3620.0
8 13 -4030.0
8 14 -6030.0
8 15 -5640.0
8 16 -1250.0
8 17 -1015.0
8 18 -3040.0
8 19 -2250.0
8 20 -4680.0
8 21 -7245.0
8 22 -6095.0
8 23 3800.0
8 24 210.0
8 25 -1860.0
8 26 -6060.0
9 27 19370.0
9 2 -5230.0
9 3 2795.0
9 4 -4170.0
9 5 -5425.0
9 6 -1525.0
9 7 -4740.0
9 8 -4580.0
9 10 -1535.0
9 11 -5760.0
9 12 -1400.0
9 13 -830.0
9 14 -540.0
9 15 -5920.0
9 16 -4930.0
9 17 165.0
9 18 -1520.0
9 19 -5090.0
