14 42
PaloAlto
SanDiego
Boulder
Washington
Atlanta
UrbanaChampaign
AnnArbor
Lincoln
Princeton
Ithaca
Pittsburgh
Houston
SaltLakeCity
Seattle
PaloAlto SanDiego 10000
SanDiego PaloAlto 10000
PaloAlto SaltLakeCity 10000
SaltLakeCity PaloAlto 5000
PaloAlto Seattle 2500
Seattle PaloAlto 5000
SanDiego Houston 10000
Houston SanDiego 2500
SanDiego Seattle 10000
Seattle SanDiego 10000
Boulder Lincoln 10000
Lincoln Boulder 5000
Boulder Houston 1000
Houston Boulder 5000
Boulder SaltLakeCity 10000
SaltLakeCity Boulder 10000
Washington Princeton 10000
Princeton Washington 2500
Washington Ithaca 10000
Ithaca Washington 2500
Washington Houston 2500
Houston Washington 5000
Atlanta Pittsburgh 1000
Pittsburgh Atlanta 1000
Atlanta Houston 5000
Houston Atlanta 5000
UrbanaChampaign Lincoln 5000
Lincoln UrbanaChampaign 10000
UrbanaChampaign Pittsburgh 10000
Pittsburgh UrbanaChampaign 5000
UrbanaChampaign Seattle 5000
Seattle UrbanaChampaign 5000
AnnArbor Princeton 10000
Princeton AnnArbor 1000
AnnArbor Ithaca 10000
Ithaca AnnArbor 2500
AnnArbor SaltLakeCity 10000
SaltLakeCity AnnArbor 10000
Princeton Pittsburgh 10000
Pittsburgh Princeton 10000
Ithaca Pittsburgh 1000
Pittsburgh Ithaca 5000
