15 44
N1
N2
N3
N4
N5
N6
N7
N8
N9
N10
N11
N12
N13
N14
N15
N1 N6 10000
N6 N1 2500
N1 N7 5000
N7 N1 10000
N1 N8 1000
N8 N1 1000
N2 N3 2500
N3 N2 5000
N2 N5 10000
N5 N2 2500
N2 N6 10000
N6 N2 10000
N3 N5 5000
N5 N3 2500
N3 N8 2500
N8 N3 5000
N4 N5 5000
N5 N4 5000
N4 N6 5000
N6 N4 10000
N6 N13 10000
N13 N6 10000
N7 N10 5000
N10 N7 10000
N7 N14 10000
N14 N7 10000
N8 N9 5000
N9 N8 5000
N8 N15 2500
N15 N8 1000
N9 N10 10000
N10 N9 5000
N9 N12 2500
N12 N9 1000
N9 N15 5000
N15 N9 10000
N10 N12 10000
N12 N10 10000
N11 N13 10000
N13 N11 5000
N11 N14 10000
N14 N11 5000
N13 N14 10000
N14 N13 2500
