22 72
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
0 2 2400
2 0 2400
0 4 8000
4 0 8000
0 9 5000
9 0 5000
0 15 8000
15 0 8000
0 19 2000
19 0 2000
1 6 2400
6 1 2400
1 13 2000
13 1 2000
1 14 2400
14 1 2400
2 6 8000
6 2 8000
2 12 5000
12 2 5000
3 4 2400
4 3 2400
3 16 8000
16 3 8000
3 20 5000
20 3 5000
4 6 2400
6 4 2400
4 7 5000
7 4 5000
4 10 5000
10 4 5000
4 12 2000
12 4 2000
4 14 8000
14 4 8000
4 18 8000
18 4 8000
5 6 8000
6 5 8000
5 12 5000
12 5 5000
5 17 5000
17 5 5000
6 13 8000
13 6 8000
6 21 8000
21 6 8000
7 12 2400
12 7 2400
8 9 2000
9 8 2000
8 19 2000
19 8 2000
9 20 5000
20 9 5000
10 21 8000
21 10 8000
11 12 8000
12 11 8000
11 14 2400
14 11 2400
14 21 8000
21 14 8000
15 21 5000
21 15 5000
16 18 2000
18 16 2000
17 21 2400
21 17 2400
18 21 2000
21 18 2000
