22 72
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
0 2 0
0 4 8.50015e-14
0 9 0
0 15 0
0 19 0
1 6 981.261
1 13 0
1 14 308.323
2 0 -0
2 6 -15.4161
2 12 0
3 4 30.8323
3 16 0
3 20 0
4 0 -0
4 3 -0
4 6 308.323
4 7 0
4 10 0
4 12 -0
4 14 15.4161
4 18 0
5 6 0
5 12 18.8158
5 17 0
6 1 18.8158
6 2 18.8158
6 4 18.8158
6 5 15.4161
6 13 -996.677
6 21 0
7 4 -0
7 12 -0
8 9 0
8 19 15.4161
9 0 6.07153e-14
9 8 -0
9 20 0
10 4 -0
10 21 -18.8158
11 12 -1000.08
11 14 -1015.49
12 2 9.88792e-14
12 4 15.4161
12 5 -3.39966
12 7 15.4161
12 11 1015.49
13 1 1015.49
13 6 996.677
14 1 -0
14 4 691.754
14 11 1015.49
14 21 669.539
15 0 -0
15 21 -18.8158
16 3 -0
16 18 -15.4161
17 5 -0
17 21 -15.4161
18 4 15.4161
18 16 15.4161
18 21 -3.39966
19 0 -15.4161
19 8 -15.4161
20 3 -0
20 9 -0
21 6 15.4161
21 10 18.8158
21 14 18.8158
21 15 18.8158
21 17 15.4161
21 18 3.39966
